id,y,x
T_1563,27.186895,-81.339857
T_1563,27.187157,-81.339895
T_1563,27.187142,-81.339817
T_1563,27.186905,-81.339878
T_1563,27.18702,-81.339892
T_1563,27.186943,-81.3399
T_1563,27.186935,-81.339913
T_1563,27.18695,-81.339883
T_1563,27.187012,-81.339892
T_1563,27.18666,-81.339903
T_1563,27.186797,-81.339935
T_1563,27.18697,-81.339865
T_1563,27.186962,-81.339823
T_1563,27.187322,-81.339892
T_1563,27.187135,-81.339617
T_1563,27.18693,-81.339838
T_1563,27.18693,-81.339935
T_1563,27.186957,-81.339938
T_1563,27.186875,-81.339912
T_1563,27.186977,-81.339873
T_1563,27.186913,-81.339873
T_1563,27.186543,-81.339817
T_1563,27.186892,-81.339848
T_1563,27.18681,-81.339815
T_1563,27.187012,-81.339815
T_1563,27.187145,-81.33982
T_1563,27.18712,-81.339838
T_1563,27.186883,-81.339863
T_1563,27.186928,-81.339863
T_1563,27.186873,-81.33988
T_1563,27.18692,-81.339882
T_1563,27.18691,-81.339907
T_1563,27.186908,-81.33987
T_1563,27.186987,-81.33979
T_1563,27.187137,-81.339747
T_1563,27.186863,-81.339772
T_1563,27.187,-81.33973
T_1563,27.187107,-81.34007
T_1563,27.187,-81.339792
T_1563,27.187007,-81.339833
T_1563,27.186758,-81.339848
T_1563,27.186975,-81.33999
T_1563,27.186923,-81.339868
T_1563,27.187072,-81.339943
T_1563,27.186948,-81.339843
T_1563,27.18696,-81.339807
T_1563,27.186985,-81.339762
T_1563,27.187032,-81.339767
T_1563,27.18688,-81.33974
T_1563,27.186947,-81.339788
T_1563,27.186817,-81.339772
T_1563,27.186967,-81.339817
T_1563,27.187153,-81.339798
T_1563,27.187168,-81.339855
T_1563,27.186945,-81.339882
T_1563,27.186962,-81.339893
T_1563,27.186955,-81.339892
T_1563,27.186938,-81.339863
T_1563,27.187102,-81.340075
T_1563,27.187102,-81.339808
T_1563,27.186895,-81.339802
T_1563,27.187085,-81.339985
T_1563,27.18686,-81.339995
T_1563,27.187102,-81.339908
T_1563,27.187137,-81.340045
T_1563,27.187187,-81.34016
T_1563,27.186895,-81.339875
T_1563,27.186917,-81.339852
T_1563,27.187015,-81.340018
T_1563,27.187137,-81.340302
T_1563,27.187068,-81.339665
T_1563,27.186897,-81.33984
T_1563,27.18668,-81.339698
T_1563,27.186937,-81.339973
T_1563,27.186983,-81.339967
T_1563,27.187152,-81.340003
T_1563,27.186787,-81.33992
T_1563,27.18692,-81.339872
T_1563,27.186883,-81.339837
T_1563,27.186832,-81.339682
T_1563,27.18703,-81.340067
T_1563,27.186818,-81.339548
T_1570,27.187683,-81.338165
T_1570,27.187623,-81.33832
T_1570,27.18763,-81.338387
T_1570,27.187868,-81.338073
T_1570,27.187638,-81.33841
T_1570,27.187662,-81.338362
T_1570,27.187745,-81.338462
T_1570,27.187717,-81.338398
T_1570,27.187667,-81.338287
T_1570,27.187572,-81.338275
T_1570,27.187643,-81.338483
T_1570,27.187637,-81.338478
T_1570,27.187582,-81.338477
T_1570,27.187552,-81.338532
T_1570,27.187448,-81.338453
T_1570,27.187442,-81.338225
T_1570,27.187718,-81.338552
T_1570,27.187728,-81.338405
T_1570,27.187577,-81.338412
T_1570,27.187585,-81.338327
T_1570,27.187132,-81.338233
T_1570,27.187633,-81.338235
T_1570,27.187705,-81.338498
T_1570,27.187678,-81.338492
T_1570,27.18754,-81.33836
T_1570,27.187573,-81.338402
T_1570,27.187632,-81.338378
T_1570,27.187597,-81.338403
T_1570,27.187568,-81.338387
T_1570,27.187558,-81.338393
T_1570,27.187532,-81.338397
T_1570,27.187547,-81.3385
T_1570,27.187593,-81.338258
T_1570,27.187577,-81.338535
T_1570,27.187273,-81.33851
T_1570,27.187577,-81.338417
T_1570,27.187343,-81.338118
T_1570,27.187862,-81.338433
T_1570,27.187618,-81.338387
T_1570,27.187582,-81.338382
T_1570,27.187652,-81.338367
T_1570,27.187733,-81.338373
T_1570,27.187623,-81.338552
T_1570,27.187443,-81.338317
T_1570,27.187617,-81.338458
T_1570,27.187565,-81.33852
T_1570,27.187653,-81.338485
T_1570,27.187705,-81.338503
T_1570,27.187597,-81.33842
T_1570,27.187585,-81.338412
T_1570,27.18763,-81.338403
T_1570,27.187627,-81.338402
T_1570,27.187548,-81.338693
T_1570,27.187473,-81.338343
T_1570,27.187557,-81.338508
T_1570,27.187523,-81.338357
T_1570,27.187557,-81.33839
T_1570,27.18771,-81.338448
T_1570,27.187747,-81.338348
T_1570,27.187697,-81.338175
T_1570,27.187615,-81.338428
T_1570,27.187582,-81.338393
T_1570,27.18765,-81.338368
T_1570,27.187705,-81.338332
T_1570,27.18761,-81.33844
T_1570,27.187637,-81.338245
T_1570,27.187352,-81.338567
T_1570,27.18748,-81.338208
T_1570,27.187547,-81.338502
T_1570,27.187703,-81.338585
T_1570,27.187648,-81.338392
T_1570,27.18757,-81.338
T_1570,27.187235,-81.337988
T_1570,27.187577,-81.338343
T_1570,27.187662,-81.338373
T_1570,27.187713,-81.33829
T_1570,27.187548,-81.338502
T_1570,27.187407,-81.338313
T_1570,27.1872,-81.338558
T_1570,27.18756,-81.338418
T_1570,27.18751,-81.338628
T_1570,27.187572,-81.338443
T_1570,27.187665,-81.338398
T_1570,27.187695,-81.338413
T_1570,27.187602,-81.338438
T_1570,27.18749,-81.337837
T_1570,27.187627,-81.33833
T_1570,27.18759,-81.33827
T_1570,27.187547,-81.338295
T_1570,27.187537,-81.338363
T_1570,27.18749,-81.33831
T_1570,27.187585,-81.338448
T_1570,27.187533,-81.338268
T_1570,27.187682,-81.338397
T_1570,27.18761,-81.338168
T_1570,27.187645,-81.338295
T_1570,27.18777,-81.338333
T_1570,27.187623,-81.338363
